,Unnamed: 0,Calories,Steps,Distance,floors,Minutes_sitting,Minutes_of_slow_activity,Minutes_of_moderate_activity,Minutes_of_intense_activity,Calories_Activity,Cluster
0,0,1.934,905.0,0.65,0,1.355,46,0,0,168.0,1
1,1,3.631,18.925,14.11,4,611.0,316,61,60,2.248,0
2,2,3.204,14.228,10.57,1,602.0,226,14,77,1.719,0
3,3,2.673,6.756,5.02,8,749.0,190,23,4,962.0,2
4,4,2.495,5.02,3.73,1,876.0,171,0,0,736.0,2
5,5,2.76,7.79,5.79,15,726.0,172,34,18,1.094,0
6,6,2.687,5.614,4.17,2,782.0,216,13,1,983.0,2
7,7,2.793,8.169,6.07,14,801.0,218,8,7,1.092,0
8,8,4.061,19.971,14.84,18,532.0,247,101,118,2.7,0
9,9,3.349,8.52,6.33,12,606.0,186,46,73,1.766,0
10,10,2.961,11.998,8.91,20,936.0,189,18,51,1.371,0
11,11,2.911,12.425,9.23,14,827.0,186,18,54,1.351,0
12,12,2.569,6.007999999999999,4.46,8,783.0,214,15,2,939.0,2
13,13,3.228,16.291,12.1,18,616.0,237,48,52,1.766,0
14,14,2.529,6.111000000000001,4.54,8,820.0,190,14,5,882.0,2
15,15,4.197,17.928,13.32,17,533.0,262,79,132,2.88,0
16,16,3.899,13.893,10.32,6,641.0,222,33,140,2.502,0
17,17,2.519,5.109,3.8,8,861.0,200,0,0,847.0,2
18,18,2.357,4.43,3.29,6,1.269,156,0,0,644.0,2
19,19,3.209,7.497999999999999,5.57,18,692.0,196,64,50,1.676,0
20,20,2.811,8.49,6.31,14,771.0,212,8,13,1.148,0
21,21,2.558,5.65,4.2,8,789.0,208,0,0,890.0,2
22,22,4.17,21.479,15.98,16,503.0,230,55,153,2.794,0
23,23,3.533,18.995,14.11,12,660.0,269,86,43,2.092,0
24,24,3.354,16.836,12.51,8,586.0,248,35,70,1.862,0
25,25,3.369,15.944,11.85,29,640.0,214,15,93,1.827,0
26,26,3.168,14.273,10.6,11,721.0,178,16,89,1.592,0
27,27,3.47,16.06,11.93,11,724.0,239,38,70,1.939,0
28,28,3.134,13.594,10.1,16,677.0,215,36,52,1.583,0
29,29,3.436,15.48,11.5,11,520.0,246,78,42,1.927,0
30,30,3.634,19.44,14.48,8,966.0,210,28,130,2.155,0
31,31,3.267,13.926,10.35,21,701.0,265,63,29,1.785,0
32,32,3.072,11.338,8.42,28,806.0,228,43,31,1.494,0
33,33,2.75,7.14,5.31,12,785.0,220,20,4,1.081,0
34,34,3.187,15.449,11.48,22,676.0,205,39,64,1.676,0
35,35,3.207,11.92,8.86,11,593.0,352,34,11,1.777,0
36,36,4.083,26.444,19.65,22,549.0,429,56,56,2.818,0
37,37,2.789,12.335,9.16,35,1.245,88,10,93,1.209,1
38,38,3.234,14.137,10.5,11,642.0,305,8,51,1.756,0
39,39,2.952,11.568,8.66,13,734.0,189,17,54,1.352,0
40,40,3.352,16.813,12.52,52,709.0,202,2,110,1.809,0
41,41,3.425,15.217,11.31,61,641.0,280,44,59,1.974,0
42,42,3.09,13.158,9.78,101,715.0,171,30,66,1.511,0
43,43,3.699,19.311,14.35,14,519.0,291,55,93,2.348,0
44,44,3.385,16.186,12.03,42,637.0,229,52,75,1.921,0
45,45,3.088,12.713,9.48,59,631.0,225,24,44,1.533,0
46,46,2.823,9.132,6.79,15,777.0,223,32,15,1.236,0
47,47,3.678,20.239,15.04,25,621.0,292,37,95,2.292,0
48,48,3.003,11.199,8.32,28,737.0,227,36,20,1.419,0
49,49,3.534,20.269,15.06,4,720.0,218,54,99,2.078,0
50,50,3.022,11.655,8.66,10,670.0,220,28,53,1.491,0
51,51,3.237,12.314,9.15,21,601.0,290,25,51,1.75,0
52,52,3.142,12.586,9.35,19,735.0,234,35,49,1.579,0
53,53,2.945,12.445,9.25,11,635.0,200,18,58,1.393,0
54,54,3.352,14.193,10.55,19,669.0,210,47,70,1.782,0
55,55,3.063,11.56,8.62,30,708.0,158,25,67,1.419,0
56,56,3.465,15.695,11.66,22,648.0,248,63,54,1.947,0
57,57,2.894,9.747,7.24,8,646.0,253,22,19,1.337,0
